Date,Open
2018-08-06,208.0
2018-08-07,209.320007
2018-08-08,206.050003
2018-08-09,207.279999
2018-08-10,207.360001
2018-08-13,207.699997
2018-08-14,210.16000400000001
2018-08-15,209.220001
2018-08-16,211.75
2018-08-17,213.440002
2018-08-20,218.100006
2018-08-21,216.80000299999998
2018-08-22,214.100006
2018-08-23,214.649994
2018-08-24,216.600006
2018-08-27,217.149994
2018-08-28,219.00999500000003
2018-08-29,220.149994
2018-08-30,223.25
2018-08-31,226.50999500000003
2018-09-04,228.41000400000001
2018-09-05,228.99000499999997
